3,11,5,4,3,4,4,11,3,4,3,3,3,4,4,5,11,11,4,5,4,6,4,4,5,4,5,4,3,11,4,11,3,4,4,4,5,3,4,3,12,3,5,4,3,3,11,4,11,3,6,11,3,5,3,4,5,5,5,5,5,5,5,4,4,11,4,3,5,3,4,3,3,4,4,3,10,4,4,3,3,11,6,4,11,3,4,4,5,4,11,3,5,5,11,4,11,3,4,4,12,4,10,4,4,4,11,3,4,4,3,3,6,4,3,12,5,3,4,3,3,5,4,4,11,11,3,11
11,11,4,11,4,3,3,4,4,3,3,3,3,11,4,4,5,4,4,4,4,3,4,3,4,3,3,3,11,3,11,11,11,11,3,12,3,4,3,11,11,4,4,6,11,5,4,3,4,4,6,3,4,6,11,4,4,3,5,3,11,3,3,4,4,4,6,5,5,4,3,6,6,4,4,5,5,4,4,12,6,4,4,5,5,5,5,3,5,4,5,4,4,3,3,5,4,3,3,11,5,5,4,3,3,4,5,5,6,5,4,5,4,4,4,7,5,5,4,4,5,3,6,4,3,4,4,4
4,3,3,11,3,3,4,4,3,5,3,5,11,3,5,3,4,5,5,4,4,3,3,5,3,4,5,5,4,5,5,4,3,4,5,4,4,4,4,3,4,4,3,3,12,3,4,3,4,5,5,4,6,3,5,5,4,4,4,4,11,3,4,5,5,3,4,3,5,3,3,3,4,3,4,11,4,4,4,4,6,3,5,4,5,4,11,3,3,4,4,4,3,5,4,4,4,5,4,3,4,5,4,3,5,5,5,6,4,5,4,5,3,3,5,4,4,5,4,3,4,4,4,4,11,4,4,3
11,5,4,4,11,4,3,3,4,3,4,4,4,3,5,6,4,5,5,11,4,5,4,11,5,12,4,3,4,5,5,5,5,4,5,12,6,4,4,4,5,4,4,4,3,4,5,3,4,3,11,5,4,5,11,6,3,5,5,5,4,6,6,5,6,6,6,4,4,3,5,6,4,3,7,4,4,5,4,5,3,4,5,4,6,6,5,4,4,4,7,6,4,3,10,5,4,4,5,5,4,5,5,5,4,12,4,6,4,4,4,3,4,3,3,5,11,4,5,5,4,4,6,4,3,4,4,4
4,10,11,3,4,4,4,3,4,3,11,4,11,4,5,4,4,5,5,5,3,3,3,3,4,3,4,4,5,4,12,4,4,4,4,3,4,11,4,5,5,3,5,5,4,11,3,3,3,4,4,4,6,3,5,4,11,5,5,5,4,4,5,11,5,3,11,11,11,4,11,11,11,11,11,4,4,4,3,10,11,4,3,12,11,11,4,3,3,3,11,5,4,4,3,4,4,4,5,4,4,5,3,3,4,5,3,10,4,3,3,5,3,3,11,4,4,5,5,4,11,12,11,11,4,11,11,10
4,11,11,5,3,4,11,3,4,3,4,11,6,11,11,3,5,3,3,5,11,3,5,3,10,4,5,4,4,4,3,4,4,5,4,4,3,4,5,3,3,4,5,3,4,5,3,11,11,4,4,4,4,3,4,4,11,12,12,4,3,3,11,4,11,3,5,4,4,11,4,11,5,5,3,3,11,11,4,3,4,5,4,5,5,4,5,4,4,3,11,11,12,4,11,3,10,3,3,11,12,4,4,3,5,5,6,6,4,3,4,4,7,4,5,4,4,4,4,4,3,3,4,4,4,5,4,4
3,5,4,3,4,3,3,6,3,4,4,4,6,5,5,5,6,5,4,4,3,5,5,5,5,4,5,5,5,5,5,4,6,5,4,4,5,4,6,4,5,5,5,5,4,6,5,5,5,4,4,5,3,5,5,4,4,7,4,6,6,5,4,4,5,3,6,5,4,5,4,4,3,5,5,4,4,3,6,4,5,6,6,5,4,4,4,6,6,4,4,5,5,5,6,4,5,4,3,4,4,7,5,5,4,5,5,6,4,5,4,5,4,4,6,5,6,5,3,5,5,6,5,5,3,4,5,5
12,3,3,4,3,5,3,5,4,5,5,5,6,4,6,4,5,3,5,4,4,5,4,12,5,6,6,3,6,4,5,6,5,7,5,4,6,5,5,5,4,4,6,5,4,3,5,4,6,3,4,5,5,5,4,5,6,4,3,5,7,6,5,5,5,4,5,6,5,4,6,6,5,5,5,4,3,4,5,7,5,4,5,5,3,6,6,6,5,6,5,3,5,11,11,7,3,5,6,4,5,6,5,4,3,5,3,3,5,4,5,5,5,4,3,5,4,4,4,5,5,5,4,4,4,4,5,3
3,4,6,4,5,12,5,5,4,5,3,11,4,4,3,3,3,3,4,11,3,3,6,11,3,5,11,3,3,10,4,10,11,5,11,11,4,11,4,11,11,11,5,4,3,3,3,4,3,3,4,11,4,5,5,5,5,3,5,4,5,4,5,5,3,11,5,5,4,4,4,5,6,5,4,4,3,3,4,5,6,4,3,4,3,4,4,5,5,4,4,5,6,5,5,4,3,5,4,6,4,5,4,5,5,4,5,3,6,4,3,5,4,6,5,5,5,5,4,5,6,5,4,3,5,4,12,4
11,5,4,3,4,5,4,12,3,5,4,4,12,4,3,4,6,4,4,5,5,5,5,5,5,5,5,4,3,4,5,4,4,11,3,4,3,4,4,4,4,4,3,4,4,4,11,11,5,4,4,4,3,5,4,3,5,4,5,3,5,3,4,4,3,5,3,5,4,4,4,6,6,5,6,6,6,5,3,3,4,4,5,4,5,5,3,3,4,3,4,4,5,3,5,4,4,11,3,4,5,11,11,3,4,3,12,3,3,3,5,3,11,5,4,5,4,5,4,5,5,6,5,4,4,3,3,3
12,11,3,3,5,4,4,3,11,3,3,5,11,5,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,6,5,5,5,11,4,4,4,4,5,11,4,5,5,4,5,5,5,4,5,3,4,5,3,4,6,5,5,4,3,5,4,5,6,5,3,5,3,4,4,5,5,3,6,5,5,4,5,3,3,6,4,4,5,5,5,4,5,5,3,4,4,4,11,4,4,5,4,4,6,4,3,5,4,5,4,11,5,4,4,4,3,4,11,5,11,4,5,5,3,12,4,3,3,4,5,5,6,4
11,5,5,4,3,4,4,5,3,12,4,6,5,3,4,5,3,3,4,5,4,4,3,4,5,5,6,5,4,5,4,3,5,5,4,4,5,5,3,11,3,5,3,4,3,5,3,4,6,4,4,5,6,3,4,4,5,5,3,4,4,5,4,3,6,6,4,3,4,4,4,5,4,4,4,5,11,3,4,11,3,3,4,5,4,3,4,3,6,5,3,3,3,3,11,5,4,5,3,4,4,4,4,5,6,5,11,4,4,5,5,3,3,4,4,4,6,3,3,3,4,4,3,4,3,4,3,5
3,11,4,4,4,6,4,4,5,3,3,5,6,3,5,4,11,3,4,6,11,3,3,5,5,3,4,3,4,5,3,5,4,4,5,5,4,5,4,3,3,4,5,4,11,4,6,4,5,3,6,3,4,3,4,4,4,4,4,4,4,5,5,4,5,4,5,4,7,4,5,5,4,4,4,6,12,3,4,5,4,4,11,4,4,3,4,4,4,4,5,4,4,6,6,5,4,6,3,5,4,4,4,4,3,4,4,3,3,4,12,6,4,3,4,4,6,4,4,3,4,5,4,5,7,4,5,6
4,4,4,4,3,5,5,3,4,5,4,4,3,4,4,4,4,3,4,4,5,5,5,4,4,5,5,5,4,4,4,4,5,4,5,3,4,4,11,3,3,3,4,3,5,5,5,4,4,4,6,3,4,4,4,13,4,4,5,4,5,12,3,3,4,4,4,4,4,6,4,5,3,4,5,4,3,11,11,5,12,4,3,4,6,4,5,5,5,5,6,5,4,5,12,5,12,3,5,4,4,4,4,5,5,3,5,3,4,5,3,3,6,3,4,4,5,11,3,3,11,4,4,4,3,11,4,11
4,4,3,4,4,5,4,11,4,4,4,4,4,3,10,4,4,5,5,11,4,3,5,3,5,4,6,5,4,5,5,3,4,5,3,11,4,11,4,3,4,11,11,3,4,4,11,5,3,4,5,4,4,4,4,4,11,5,5,4,3,6,5,12,5,3,3,3,4,12,12,5,6,5,4,5,12,5,6,5,6,4,4,3,3,4,4,4,3,4,11,11,3,4,4,5,5,4,4,5,5,3,3,12,4,5,3,4,4,4,11,4,4,5,4,5,6,6,6,3,3,3,5,6,3,5,6,5
4,3,11,4,11,3,4,4,5,4,3,11,4,4,12,3,4,3,4,5,6,4,4,4,5,5,3,3,3,5,5,4,4,11,5,6,4,5,6,5,4,11,3,11,3,4,4,10,6,6,5,5,6,4,5,5,4,4,5,3,4,5,5,6,4,4,4,6,11,3,5,5,4,4,5,4,5,5,3,5,3,5,5,6,3,3,5,4,5,5,3,5,3,3,4,3,4,5,4,4,11,5,4,3,4,5,4,4,6,11,4,5,4,4,4,4,3,4,5,5,5,4,3,4,6,4,4,5
4,4,4,5,5,5,4,5,3,4,4,3,5,6,4,4,4,5,6,3,5,4,4,5,4,6,4,5,5,4,5,5,4,4,4,3,4,5,4,3,5,4,4,4,6,3,4,5,6,6,6,5,6,6,6,5,5,4,4,6,4,3,4,5,5,5,5,6,7,6,3,5,5,6,5,5,6,3,4,5,5,5,5,4,4,5,3,11,5,5,6,3,3,6,6,4,5,5,5,3,5,3,4,4,4,4,3,5,6,6,6,4,3,5,12,6,4,6,5,6,4,5,5,3,5,6,5,5
3,11,5,5,5,4,4,3,5,5,5,4,4,4,4,3,6,5,4,5,5,4,4,4,4,5,5,5,6,5,6,4,5,4,4,5,6,5,4,5,6,5,5,6,4,3,5,6,4,6,5,6,6,4,5,4,4,3,5,3,4,6,5,5,4,4,5,4,5,4,11,5,3,5,4,4,4,5,4,3,4,4,5,6,5,3,6,6,6,4,5,5,5,5,3,6,4,4,5,5,5,6,5,5,5,4,5,4,4,7,5,4,4,11,5,5,4,3,4,4,5,5,5,5,4,5,4,5
3,11,3,4,11,3,5,11,5,4,11,11,3,3,4,4,5,4,4,3,12,11,10,3,11,4,3,11,3,3,4,10,3,11,11,4,3,11,3,4,3,5,4,6,4,11,4,11,3,4,6,3,7,4,3,4,4,4,5,11,3,11,4,10,11,11,11,12,4,3,11,4,5,3,3,5,3,4,3,11,11,5,3,5,11,3,5,3,3,10,4,4,4,4,11,4,3,4,4,3,4,5,3,6,5,3,4,4,3,4,5,12,5,3,3,3,3,3,10,3,3,4,11,11,11,5,5,4
10,3,3,10,3,3,10,11,11,3,11,11,10,4,11,11,11,3,11,3,3,3,4,3,3,3,10,11,4,10,4,3,4,4,3,11,3,5,10,3,11,11,11,11,4,11,11,11,11,4,12,5,11,11,11,11,11,11,5,3,3,3,11,12,3,11,12,4,3,3,4,4,11,11,5,3,4,12,12,11,3,3,4,4,4,3,4,3,11,4,3,10,3,11,4,11,4,3,3,5,10,11,3,3,4,3,12,4,4,3,4,3,3,3,3,11,3,4,3,4,3,11,11,3,5,3,3,4
4,5,3,3,4,4,4,11,3,3,5,3,3,3,5,3,3,4,3,4,3,12,11,4,3,5,4,4,5,5,3,3,5,5,4,3,11,5,6,4,3,3,5,4,4,4,5,5,5,4,3,4,3,4,4,5,5,3,3,5,3,3,4,3,4,5,5,5,5,4,11,12,5,4,3,11,5,5,4,4,3,3,5,4,4,3,4,4,4,4,4,5,4,6,12,5,5,5,4,12,6,3,3,11,4,3,12,11,12,3,4,11,3,5,5,4,5,4,4,4,4,4,4,5,6,11,3,4
3,4,11,5,4,3,4,3,4,4,3,3,3,4,5,3,4,11,4,4,4,5,5,5,6,4,5,4,4,6,5,4,6,5,5,4,11,4,11,3,4,4,3,10,4,4,4,4,5,4,11,5,4,5,4,4,4,3,4,4,5,4,4,5,4,4,4,4,11,4,4,4,5,6,4,5,5,3,11,4,6,4,4,5,4,3,11,5,4,4,5,4,11,3,3,4,4,4,5,5,5,4,4,4,4,5,4,5,5,5,3,11,4,3,4,4,5,4,4,6,3,4,4,5,4,3,4,3
